word,f_l1,f_l2,f_l3,f_l4,f_l5,,,,
babel,736,1959,278,2009,320,,,,
babes,736,1959,278,2009,3922,,,,
babka,736,1959,278,448,616,,,,
baboo,736,1959,278,566,331,,,,
babul,736,1959,278,319,320,,,,
babus,736,1959,278,319,3922,,,,
bacca,736,1959,336,259,616,,,,
bacco,736,1959,336,259,331,,,,
baccy,736,1959,336,259,937,,,,
bacha,736,1959,336,207,616,,,,
bachs,736,1959,336,207,3922,,,,
backs,736,1959,336,448,3922,,,,
baddy,736,1959,315,402,937,,,,
baels,736,1959,705,609,3922,,,,
baffs,736,1959,153,198,3922,,,,
baffy,736,1959,153,198,937,,,,
bafts,736,1959,153,759,3922,,,,
baghs,736,1959,297,207,3922,,,,
bagie,736,1959,297,722,1098,,,,
bahts,736,1959,111,759,3922,,,,
bahus,736,1959,111,319,3922,,,,
bahut,736,1959,111,319,474,,,,
bails,736,1959,785,609,3922,,,,
bairn,736,1959,785,567,400,,,,
baisa,736,1959,785,345,616,,,,
baith,736,1959,785,759,231,,,,
baits,736,1959,785,759,3922,,,,
baiza,736,1959,785,106,616,,,,
baize,736,1959,785,106,1098,,,,
bajan,736,1959,43,911,400,,,,
bajra,736,1959,43,567,616,,,,
bajri,736,1959,43,567,269,,,,
bajus,736,1959,43,319,3922,,,,
baked,736,1959,260,2009,705,,,,
baken,736,1959,260,2009,400,,,,
bakes,736,1959,260,2009,3922,,,,
bakra,736,1959,260,567,616,,,,
balas,736,1959,736,911,3922,,,,
balds,736,1959,736,402,3922,,,,
baldy,736,1959,736,402,937,,,,
baled,736,1959,736,2009,705,,,,
bales,736,1959,736,2009,3922,,,,
balks,736,1959,736,448,3922,,,,
balky,736,1959,736,448,937,,,,
balls,736,1959,736,609,3922,,,,
bally,736,1959,736,609,937,,,,
balms,736,1959,736,334,3922,,,,
baloo,736,1959,736,566,331,,,,
balsa,736,1959,736,345,616,,,,
balti,736,1959,736,759,269,,,,
balun,736,1959,736,319,400,,,,
balus,736,1959,736,319,3922,,,,
bambi,736,1959,450,219,269,,,,
banak,736,1959,825,911,146,,,,
banco,736,1959,825,259,331,,,,
bancs,736,1959,825,259,3922,,,,
banda,736,1959,825,402,616,,,,
bandh,736,1959,825,402,231,,,,
bands,736,1959,825,402,3922,,,,
bandy,736,1959,825,402,937,,,,
baned,736,1959,825,2009,705,,,,
banes,736,1959,825,2009,3922,,,,
bangs,736,1959,825,347,3922,,,,
bania,736,1959,825,722,616,,,,
banks,736,1959,825,448,3922,,,,
banns,736,1959,825,606,3922,,,,
bants,736,1959,825,759,3922,,,,
bantu,736,1959,825,759,66,,,,
banty,736,1959,825,759,937,,,,
banya,736,1959,825,105,616,,,,
bapus,736,1959,306,319,3922,,,,
barbe,736,1959,1035,219,1098,,,,
barbs,736,1959,1035,219,3922,,,,
barby,736,1959,1035,219,937,,,,
barca,736,1959,1035,259,616,,,,
barde,736,1959,1035,402,1098,,,,
bardo,736,1959,1035,402,331,,,,
bards,736,1959,1035,402,3922,,,,
bardy,736,1959,1035,402,937,,,,
bared,736,1959,1035,2009,705,,,,
barer,736,1959,1035,2009,461,,,,
bares,736,1959,1035,2009,3922,,,,
barfi,736,1959,1035,198,269,,,,
barfs,736,1959,1035,198,3922,,,,
baric,736,1959,1035,722,96,,,,
barks,736,1959,1035,448,3922,,,,
barky,736,1959,1035,448,937,,,,
barms,736,1959,1035,334,3922,,,,
barmy,736,1959,1035,334,937,,,,
barns,736,1959,1035,606,3922,,,,
barny,736,1959,1035,606,937,,,,
barps,736,1959,1035,368,3922,,,,
barra,736,1959,1035,567,616,,,,
barre,736,1959,1035,567,1098,,,,
barro,736,1959,1035,567,331,,,,
barry,736,1959,1035,567,937,,,,
barye,736,1959,1035,105,1098,,,,
basan,736,1959,453,911,400,,,,
based,736,1959,453,2009,705,,,,
basen,736,1959,453,2009,400,,,,
baser,736,1959,453,2009,461,,,,
bases,736,1959,453,2009,3922,,,,
basho,736,1959,453,207,331,,,,
basij,736,1959,453,722,3,,,,
basks,736,1959,453,448,3922,,,,
bason,736,1959,453,566,400,,,,
basse,736,1959,453,345,1098,,,,
bassi,736,1959,453,345,269,,,,
basso,736,1959,453,345,331,,,,
bassy,736,1959,453,345,937,,,,
basta,736,1959,453,759,616,,,,
basti,736,1959,453,759,269,,,,
basto,736,1959,453,759,331,,,,
basts,736,1959,453,759,3922,,,,
bated,736,1959,505,2009,705,,,,
bates,736,1959,505,2009,3922,,,,
baths,736,1959,505,207,3922,,,,
batik,736,1959,505,722,146,,,,
batta,736,1959,505,759,616,,,,
batts,736,1959,505,759,3922,,,,
battu,736,1959,505,759,66,,,,
bauds,736,1959,502,402,3922,,,,
bauks,736,1959,502,448,3922,,,,
baulk,736,1959,502,609,146,,,,
baurs,736,1959,502,567,3922,,,,
bavin,736,1959,191,722,400,,,,
bawds,736,1959,245,402,3922,,,,
bawks,736,1959,245,448,3922,,,,
bawls,736,1959,245,609,3922,,,,
bawns,736,1959,245,606,3922,,,,
bawrs,736,1959,245,567,3922,,,,
bawty,736,1959,245,759,937,,,,
bayed,736,1959,184,2009,705,,,,
bayer,736,1959,184,2009,461,,,,
bayes,736,1959,184,2009,3922,,,,
bayle,736,1959,184,609,1098,,,,
bayts,736,1959,184,759,3922,,,,
bazar,736,1959,131,911,461,,,,
bazoo,736,1959,131,566,331,,,,
beads,736,1386,929,402,3922,,,,
beaks,736,1386,929,448,3922,,,,
beaky,736,1386,929,448,937,,,,
beals,736,1386,929,609,3922,,,,
beams,736,1386,929,334,3922,,,,
beamy,736,1386,929,334,937,,,,
beano,736,1386,929,606,331,,,,
beans,736,1386,929,606,3922,,,,
beany,736,1386,929,606,937,,,,
beare,736,1386,929,567,1098,,,,
bears,736,1386,929,567,3922,,,,
beath,736,1386,929,759,231,,,,
beats,736,1386,929,759,3922,,,,
beaty,736,1386,929,759,937,,,,
